Supplementary Table 12. Country-specific cumulative absolute risk for PGS strata across 19 phenotypes.,,,,,,,,,,,,
,,,,,,,,,,,,
Phenotype,Country,Sex,Study,Optimal Model,PGS Strata,Age,"Cumulative Absolute Risk 
(%)","Cumulative Absolute Risk  
Lower Confidence Interval
(%)","Cumulative Absolute Risk  
Upper Confidence Interval
(%)",,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,40-60%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,40-60%,35,0.09,0.05,0.14,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,40-60%,40,0.28,0.16,0.39,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,40-60%,45,0.67,0.48,0.87,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,40-60%,50,1.39,0.92,1.88,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,40-60%,55,2.48,1.85,3.13,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,40-60%,60,3.94,2.94,5.01,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,40-60%,65,5.36,4.12,6.74,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,40-60%,70,6.38,5.03,7.80,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,40-60%,75,6.99,5.64,8.47,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,40-60%,80,7.19,5.77,8.68,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,60-80%,5,0.00,0.00,0.00,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,60-80%,10,0.00,0.00,0.00,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,60-80%,15,0.00,0.00,0.00,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,60-80%,20,0.00,0.00,0.00,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,60-80%,25,0.00,0.00,0.00,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,60-80%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,60-80%,35,0.11,0.06,0.17,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,60-80%,40,0.33,0.20,0.47,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,60-80%,45,0.80,0.56,1.09,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,60-80%,50,1.66,1.10,2.32,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,60-80%,55,2.95,2.22,3.81,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,60-80%,60,4.69,3.39,6.19,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,60-80%,65,6.37,4.72,8.28,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,60-80%,70,7.58,5.84,9.48,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,60-80%,75,8.30,6.45,10.32,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,60-80%,80,8.53,6.63,10.58,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,80-90%,5,0.00,0.00,0.00,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,80-90%,10,0.00,0.00,0.00,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,80-90%,15,0.00,0.00,0.00,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,80-90%,20,0.00,0.00,0.00,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,80-90%,25,0.00,0.00,0.00,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,80-90%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,80-90%,35,0.13,0.06,0.20,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,80-90%,40,0.39,0.23,0.57,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,80-90%,45,0.94,0.65,1.29,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,80-90%,50,1.95,1.21,2.75,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,80-90%,55,3.45,2.51,4.57,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,80-90%,60,5.48,3.95,7.39,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,80-90%,65,7.43,5.50,9.62,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,80-90%,70,8.83,6.74,11.29,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,80-90%,75,9.66,7.40,12.26,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,80-90%,80,9.93,7.63,12.55,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,90-95%,5,0.00,0.00,0.00,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,90-95%,10,0.00,0.00,0.00,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,90-95%,15,0.00,0.00,0.00,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,90-95%,20,0.00,0.00,0.00,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,90-95%,25,0.00,0.00,0.00,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,90-95%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,90-95%,35,0.12,0.06,0.19,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,90-95%,40,0.37,0.22,0.55,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,90-95%,45,0.90,0.60,1.25,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,90-95%,50,1.87,1.17,2.69,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,90-95%,55,3.31,2.30,4.43,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,90-95%,60,5.25,3.60,7.25,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,90-95%,65,7.13,5.06,9.64,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,90-95%,70,8.47,6.13,11.26,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,90-95%,75,9.26,6.77,12.21,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,90-95%,80,9.52,6.99,12.43,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,> 95%,5,0.00,0.00,0.00,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,> 95%,10,0.00,0.00,0.00,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,> 95%,15,0.00,0.00,0.00,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,> 95%,20,0.00,0.00,0.00,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,> 95%,25,0.00,0.00,0.00,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,> 95%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,> 95%,35,0.14,0.07,0.21,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,> 95%,40,0.42,0.25,0.62,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,> 95%,45,1.03,0.68,1.44,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,> 95%,50,2.14,1.34,3.07,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,> 95%,55,3.78,2.67,5.17,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,> 95%,60,5.99,4.12,8.24,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,> 95%,65,8.12,5.78,10.86,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,> 95%,70,9.64,7.00,12.61,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,> 95%,75,10.53,7.80,13.74,,,
Hip Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Sex,> 95%,80,10.83,8.07,14.05,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,< 20%,5,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,< 20%,10,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,< 20%,15,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,< 20%,20,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,< 20%,25,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,< 20%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,< 20%,35,0.05,0.02,0.07,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,< 20%,40,0.13,0.08,0.19,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,< 20%,45,0.29,0.19,0.40,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,< 20%,50,0.54,0.33,0.74,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,< 20%,55,0.87,0.63,1.16,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,< 20%,60,1.28,0.95,1.70,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,< 20%,65,1.70,1.27,2.25,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,< 20%,70,2.05,1.58,2.66,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,< 20%,75,2.30,1.80,2.96,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,< 20%,80,2.39,1.87,3.07,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,20-40%,5,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,20-40%,10,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,20-40%,15,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,20-40%,20,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,20-40%,25,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,20-40%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,20-40%,35,0.06,0.03,0.09,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,20-40%,40,0.17,0.10,0.25,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,20-40%,45,0.36,0.23,0.49,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,20-40%,50,0.67,0.42,0.92,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,20-40%,55,1.09,0.79,1.45,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,20-40%,60,1.60,1.19,2.14,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,20-40%,65,2.12,1.60,2.80,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,20-40%,70,2.56,1.97,3.32,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,20-40%,75,2.86,2.24,3.69,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,20-40%,80,2.98,2.35,3.83,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,40-60%,5,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,40-60%,10,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,40-60%,15,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,40-60%,20,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,40-60%,25,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,40-60%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,40-60%,35,0.08,0.04,0.12,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,40-60%,40,0.22,0.13,0.32,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,40-60%,45,0.47,0.32,0.62,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,40-60%,50,0.88,0.58,1.17,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,40-60%,55,1.43,1.07,1.82,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,40-60%,60,2.10,1.61,2.70,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,40-60%,65,2.78,2.18,3.49,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,40-60%,70,3.36,2.69,4.15,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,40-60%,75,3.75,3.06,4.59,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,40-60%,80,3.90,3.21,4.75,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,60-80%,5,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,60-80%,10,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,60-80%,15,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,60-80%,20,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,60-80%,25,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,60-80%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,60-80%,35,0.09,0.04,0.13,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,60-80%,40,0.24,0.14,0.36,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,60-80%,45,0.52,0.34,0.70,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,60-80%,50,0.97,0.62,1.30,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,60-80%,55,1.57,1.16,2.03,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,60-80%,60,2.31,1.72,2.99,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,60-80%,65,3.05,2.34,3.92,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,60-80%,70,3.69,2.87,4.60,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,60-80%,75,4.12,3.20,5.10,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,60-80%,80,4.29,3.37,5.27,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,80-90%,5,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,80-90%,10,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,80-90%,15,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,80-90%,20,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,80-90%,25,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,80-90%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,80-90%,35,0.10,0.05,0.15,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,80-90%,40,0.28,0.17,0.42,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,80-90%,45,0.61,0.41,0.85,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,80-90%,50,1.14,0.72,1.61,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,80-90%,55,1.85,1.36,2.47,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,80-90%,60,2.72,1.97,3.59,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,80-90%,65,3.59,2.66,4.65,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,80-90%,70,4.33,3.31,5.51,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,80-90%,75,4.84,3.71,6.16,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,80-90%,80,5.03,3.89,6.39,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,90-95%,5,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,90-95%,10,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,90-95%,15,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,90-95%,20,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,90-95%,25,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,90-95%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,90-95%,35,0.13,0.06,0.21,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,90-95%,40,0.38,0.22,0.56,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,90-95%,45,0.82,0.53,1.12,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,90-95%,50,1.53,0.96,2.13,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,90-95%,55,2.48,1.78,3.31,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,90-95%,60,3.63,2.62,4.83,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,90-95%,65,4.79,3.49,6.28,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,90-95%,70,5.77,4.34,7.61,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,90-95%,75,6.44,4.89,8.36,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,90-95%,80,6.69,5.08,8.66,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,> 95%,5,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,> 95%,10,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,> 95%,15,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,> 95%,20,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,> 95%,25,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,> 95%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,> 95%,35,0.13,0.06,0.21,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,> 95%,40,0.38,0.21,0.56,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,> 95%,45,0.82,0.54,1.11,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,> 95%,50,1.53,0.94,2.16,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,> 95%,55,2.47,1.77,3.32,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,> 95%,60,3.63,2.61,4.83,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,> 95%,65,4.79,3.50,6.32,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,> 95%,70,5.77,4.33,7.62,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,> 95%,75,6.43,4.80,8.47,,,
Hip Osteoarthritis,Norway,Males,HUNT,Sex,> 95%,80,6.69,5.03,8.80,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,< 20%,5,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,< 20%,10,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,< 20%,15,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,< 20%,20,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,< 20%,25,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,< 20%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,< 20%,35,0.04,0.02,0.07,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,< 20%,40,0.13,0.07,0.19,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,< 20%,45,0.29,0.19,0.39,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,< 20%,50,0.57,0.37,0.81,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,< 20%,55,1.00,0.72,1.29,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,< 20%,60,1.59,1.17,2.06,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,< 20%,65,2.21,1.66,2.85,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,< 20%,70,2.75,2.10,3.46,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,< 20%,75,3.12,2.39,3.92,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,< 20%,80,3.25,2.51,4.05,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,20-40%,5,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,20-40%,10,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,20-40%,15,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,20-40%,20,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,20-40%,25,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,20-40%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,20-40%,35,0.06,0.03,0.09,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,20-40%,40,0.17,0.09,0.25,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,20-40%,45,0.38,0.26,0.52,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,20-40%,50,0.76,0.50,1.05,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,20-40%,55,1.33,0.96,1.72,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,20-40%,60,2.12,1.52,2.72,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,20-40%,65,2.94,2.16,3.73,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,20-40%,70,3.65,2.77,4.50,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,20-40%,75,4.14,3.19,5.10,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,20-40%,80,4.31,3.29,5.28,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,40-60%,5,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,40-60%,10,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,40-60%,15,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,40-60%,20,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,40-60%,25,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,40-60%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,40-60%,35,0.07,0.03,0.10,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,40-60%,40,0.19,0.10,0.27,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,40-60%,45,0.42,0.29,0.56,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,40-60%,50,0.84,0.54,1.16,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,40-60%,55,1.46,1.09,1.84,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,40-60%,60,2.32,1.68,2.95,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,40-60%,65,3.23,2.44,4.05,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,40-60%,70,4.01,3.14,4.89,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,40-60%,75,4.54,3.53,5.50,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,40-60%,80,4.73,3.74,5.73,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,60-80%,5,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,60-80%,10,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,60-80%,15,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,60-80%,20,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,60-80%,25,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,60-80%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,60-80%,35,0.08,0.04,0.13,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,60-80%,40,0.23,0.12,0.34,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,60-80%,45,0.53,0.35,0.70,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,60-80%,50,1.04,0.67,1.43,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,60-80%,55,1.82,1.34,2.33,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,60-80%,60,2.89,2.10,3.71,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,60-80%,65,4.01,3.04,5.01,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,60-80%,70,4.97,3.81,6.07,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,60-80%,75,5.62,4.38,6.86,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,60-80%,80,5.86,4.58,7.12,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,80-90%,5,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,80-90%,10,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,80-90%,15,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,80-90%,20,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,80-90%,25,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,80-90%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,80-90%,35,0.08,0.03,0.12,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,80-90%,40,0.22,0.11,0.32,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,80-90%,45,0.50,0.33,0.67,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,80-90%,50,0.98,0.64,1.37,,,
